year,edition,sport,total_events,total_athletes,total_medals
1996,1996 Summer Olympics,Cycling Track,8,179,34
1996,1996 Summer Olympics,Diving,4,122,12
1996,1996 Summer Olympics,Equestrian Dressage,2,49,15
1996,1996 Summer Olympics,Equestrian Eventing,2,88,15
1996,1996 Summer Olympics,Equestrian Jumping,2,82,15
1996,1996 Summer Olympics,Fencing,10,224,61
1996,1996 Summer Olympics,Football,2,502,122
1996,1996 Summer Olympics,Handball,2,319,96
1996,1996 Summer Olympics,Hockey,2,320,96
1996,1996 Summer Olympics,Judo,14,387,56
1996,1996 Summer Olympics,Modern Pentathlon,1,32,3
1996,1996 Summer Olympics,Rhythmic Gymnastics,2,90,21
1996,1996 Summer Olympics,Rowing,14,608,144
1996,1996 Summer Olympics,Sailing,10,458,48
1996,1996 Summer Olympics,Shooting,15,419,45
1996,1996 Summer Olympics,Softball,1,120,45
1996,1996 Summer Olympics,Swimming,32,764,181
1996,1996 Summer Olympics,Table Tennis,4,166,18
1996,1996 Summer Olympics,Tennis,4,178,18
1996,1996 Summer Olympics,Volleyball,2,288,72
1996,1996 Summer Olympics,Water Polo,1,156,39
1996,1996 Summer Olympics,Weightlifting,10,243,30
1996,1996 Summer Olympics,Wrestling,20,401,60
1998,1998 Winter Olympics,Alpine Skiing,10,252,30
1998,1998 Winter Olympics,Biathlon,6,183,36
1998,1998 Winter Olympics,Bobsleigh,2,156,22
1998,1998 Winter Olympics,Cross Country Skiing,10,229,48
1998,1998 Winter Olympics,Curling,2,80,30
1998,1998 Winter Olympics,Figure Skating,4,145,18
1998,1998 Winter Olympics,Freestyle Skiing,4,111,12
1998,1998 Winter Olympics,Ice Hockey,2,441,129
1998,1998 Winter Olympics,Luge,3,93,12
1998,1998 Winter Olympics,Nordic Combined,2,53,15
1998,1998 Winter Olympics,Short Track Speed Skating,6,103,42
1998,1998 Winter Olympics,Ski Jumping,3,68,18
1998,1998 Winter Olympics,Snowboarding,4,125,12
1998,1998 Winter Olympics,Speed Skating,10,171,30
2000,2000 Summer Olympics,Archery,4,128,24
2000,2000 Summer Olympics,Artistic Gymnastics,14,194,72
2000,2000 Summer Olympics,Artistic Swimming,2,101,31
2000,2000 Summer Olympics,Athletics,48,2164,191
2000,2000 Summer Olympics,Badminton,5,172,24
2000,2000 Summer Olympics,Baseball,1,192,72
2000,2000 Summer Olympics,Basketball,2,288,72
2000,2000 Summer Olympics,Beach Volleyball,2,96,12
2000,2000 Summer Olympics,Boxing,12,310,48
2000,2000 Summer Olympics,Canoe Slalom,4,83,15
2000,2000 Summer Olympics,Canoe Sprint,12,247,69
2000,2000 Summer Olympics,Cycling Mountain Bike,2,79,6
2000,2000 Summer Olympics,Cycling Road,4,218,11
2000,2000 Summer Olympics,Cycling Track,12,180,56
2000,2000 Summer Olympics,Diving,8,157,36
2000,2000 Summer Olympics,Equestrian Dressage,2,47,15
2000,2000 Summer Olympics,Equestrian Eventing,2,74,15
2000,2000 Summer Olympics,Equestrian Jumping,2,74,15
2000,2000 Summer Olympics,Fencing,10,217,66
2000,2000 Summer Olympics,Football,2,520,129
2000,2000 Summer Olympics,Handball,2,329,90
2000,2000 Summer Olympics,Hockey,2,352,96
2000,2000 Summer Olympics,Judo,14,398,56
2000,2000 Summer Olympics,Modern Pentathlon,2,48,6
2000,2000 Summer Olympics,Rhythmic Gymnastics,2,84,21
2000,2000 Summer Olympics,Rowing,14,548,144
2000,2000 Summer Olympics,Sailing,11,402,54
2000,2000 Summer Olympics,Shooting,17,408,51
2000,2000 Summer Olympics,Softball,1,120,45
2000,2000 Summer Olympics,Swimming,32,956,185
2000,2000 Summer Olympics,Table Tennis,4,171,18
2000,2000 Summer Olympics,Taekwondo,8,103,24
2000,2000 Summer Olympics,Tennis,4,182,18
2000,2000 Summer Olympics,Trampolining,2,24,6
2000,2000 Summer Olympics,Triathlon,2,100,6
2000,2000 Summer Olympics,Volleyball,2,288,72
2000,2000 Summer Olympics,Water Polo,2,234,78
2000,2000 Summer Olympics,Weightlifting,15,246,45
2000,2000 Summer Olympics,Wrestling,16,314,48
2002,2002 Winter Olympics,Alpine Skiing,10,280,30
2002,2002 Winter Olympics,Biathlon,8,190,42
2002,2002 Winter Olympics,Bobsleigh,3,195,24
2002,2002 Winter Olympics,Cross Country Skiing,12,260,54
2002,2002 Winter Olympics,Curling,2,100,30
2002,2002 Winter Olympics,Figure Skating,4,144,18
2002,2002 Winter Olympics,Freestyle Skiing,4,105,12
2002,2002 Winter Olympics,Ice Hockey,2,485,129
2002,2002 Winter Olympics,Luge,3,110,12
2002,2002 Winter Olympics,Nordic Combined,3,54,18
2002,2002 Winter Olympics,Short Track Speed Skating,8,115,48
2002,2002 Winter Olympics,Skeleton,2,39,6
2002,2002 Winter Olympics,Ski Jumping,3,73,18
2002,2002 Winter Olympics,Snowboarding,4,119,12
2002,2002 Winter Olympics,Speed Skating,10,166,30
2004,2004 Summer Olympics,Archery,4,128,24
2004,2004 Summer Olympics,Artistic Gymnastics,14,196,72
2004,2004 Summer Olympics,Artistic Swimming,2,101,33
2004,2004 Summer Olympics,Athletics,48,2109,198
2004,2004 Summer Olympics,Badminton,5,172,24
2004,2004 Summer Olympics,Baseball,1,191,72
2004,2004 Summer Olympics,Basketball,2,288,72
2004,2004 Summer Olympics,Beach Volleyball,2,96,12
2004,2004 Summer Olympics,Boxing,11,283,44
2004,2004 Summer Olympics,Canoe Slalom,4,84,15
2004,2004 Summer Olympics,Canoe Sprint,12,244,69
2004,2004 Summer Olympics,Cycling Mountain Bike,2,80,6
2004,2004 Summer Olympics,Cycling Road,4,213,12
2004,2004 Summer Olympics,Cycling Track,12,180,58
2004,2004 Summer Olympics,Diving,8,129,36
2004,2004 Summer Olympics,Equestrian Dressage,2,51,15
2004,2004 Summer Olympics,Equestrian Eventing,2,75,18
2004,2004 Summer Olympics,Equestrian Jumping,2,77,15
2004,2004 Summer Olympics,Fencing,10,223,61
2004,2004 Summer Olympics,Football,2,558,129
2004,2004 Summer Olympics,Handball,2,330,90
2004,2004 Summer Olympics,Hockey,2,352,96
2004,2004 Summer Olympics,Judo,14,384,56
2004,2004 Summer Olympics,Modern Pentathlon,2,64,6
2004,2004 Summer Olympics,Rhythmic Gymnastics,2,84,21
2004,2004 Summer Olympics,Rowing,14,558,144
2004,2004 Summer Olympics,Sailing,11,400,54
2004,2004 Summer Olympics,Shooting,17,390,51
2004,2004 Summer Olympics,Softball,1,120,45
2004,2004 Summer Olympics,Swimming,32,938,185
2004,2004 Summer Olympics,Table Tennis,4,172,18
2004,2004 Summer Olympics,Taekwondo,8,124,24
2004,2004 Summer Olympics,Tennis,4,172,18
2004,2004 Summer Olympics,Trampolining,2,32,6
2004,2004 Summer Olympics,Triathlon,2,100,6
2004,2004 Summer Olympics,Volleyball,2,288,72
2004,2004 Summer Olympics,Water Polo,2,259,78
2004,2004 Summer Olympics,Weightlifting,15,249,45
2004,2004 Summer Olympics,Wrestling,18,342,54
2006,2006 Winter Olympics,Alpine Skiing,10,288,30
2006,2006 Winter Olympics,Biathlon,10,204,48
2006,2006 Winter Olympics,Bobsleigh,3,152,24
2006,2006 Winter Olympics,Cross Country Skiing,12,307,60
2006,2006 Winter Olympics,Curling,2,100,30
2006,2006 Winter Olympics,Figure Skating,4,147,18
2006,2006 Winter Olympics,Freestyle Skiing,4,119,12
2006,2006 Winter Olympics,Ice Hockey,2,447,133
2006,2006 Winter Olympics,Luge,3,108,12
2006,2006 Winter Olympics,Nordic Combined,3,59,18
2006,2006 Winter Olympics,Short Track Speed Skating,8,110,48
2006,2006 Winter Olympics,Skeleton,2,42,6
2006,2006 Winter Olympics,Ski Jumping,3,79,18
2006,2006 Winter Olympics,Snowboarding,6,187,18
2006,2006 Winter Olympics,Speed Skating,12,174,60
2008,2008 Summer Olympics,Archery,4,128,24
2008,2008 Summer Olympics,Artistic Gymnastics,14,196,72
2008,2008 Summer Olympics,Artistic Swimming,2,103,33
2008,2008 Summer Olympics,Athletics,47,2157,199
2008,2008 Summer Olympics,Badminton,5,173,24
2008,2008 Summer Olympics,Baseball,1,192,72
2008,2008 Summer Olympics,Basketball,2,288,72
2008,2008 Summer Olympics,Beach Volleyball,2,96,12
2008,2008 Summer Olympics,Boxing,11,286,44
2008,2008 Summer Olympics,Canoe Slalom,4,82,15
2008,2008 Summer Olympics,Canoe Sprint,12,248,69
2008,2008 Summer Olympics,Cycling BMX Racing,2,48,6
2008,2008 Summer Olympics,Cycling Mountain Bike,2,80,6
2008,2008 Summer Olympics,Cycling Road,4,211,12
2008,2008 Summer Olympics,Cycling Track,10,176,51
2008,2008 Summer Olympics,Diving,8,140,36
2008,2008 Summer Olympics,Equestrian Dressage,2,47,12
2008,2008 Summer Olympics,Equestrian Eventing,2,69,18
2008,2008 Summer Olympics,Equestrian Jumping,2,77,15
2008,2008 Summer Olympics,Fencing,10,234,63
2008,2008 Summer Olympics,Football,2,515,109
2008,2008 Summer Olympics,Handball,2,344,85
2008,2008 Summer Olympics,Hockey,2,432,108
2008,2008 Summer Olympics,Judo,14,386,56
2008,2008 Summer Olympics,Marathon Swimming,2,50,6
2008,2008 Summer Olympics,Modern Pentathlon,2,72,6
2008,2008 Summer Olympics,Rhythmic Gymnastics,2,95,21
2008,2008 Summer Olympics,Rowing,14,555,144
2008,2008 Summer Olympics,Sailing,11,400,54
2008,2008 Summer Olympics,Shooting,15,390,45
2008,2008 Summer Olympics,Softball,1,120,45
2008,2008 Summer Olympics,Swimming,32,984,194
2008,2008 Summer Olympics,Table Tennis,4,171,24
2008,2008 Summer Olympics,Taekwondo,8,128,32
2008,2008 Summer Olympics,Tennis,4,173,18
2008,2008 Summer Olympics,Trampolining,2,32,6
2008,2008 Summer Olympics,Triathlon,2,110,6
2008,2008 Summer Olympics,Volleyball,2,288,72
2008,2008 Summer Olympics,Water Polo,2,260,78
2008,2008 Summer Olympics,Weightlifting,15,253,45
2008,2008 Summer Olympics,Wrestling,18,343,71
2008,2008 Summer Olympics,Wushu,15,121,0
2010,2010 Winter Olympics,Alpine Skiing,10,309,30
2010,2010 Winter Olympics,Biathlon,10,204,48
2010,2010 Winter Olympics,Bobsleigh,3,159,24
2010,2010 Winter Olympics,Cross Country Skiing,12,292,60
2010,2010 Winter Olympics,Curling,2,100,30
2010,2010 Winter Olympics,Figure Skating,4,146,18
2010,2010 Winter Olympics,Freestyle Skiing,6,173,18
2010,2010 Winter Olympics,Ice Hockey,2,444,132
2010,2010 Winter Olympics,Luge,3,108,12
2010,2010 Winter Olympics,Nordic Combined,3,52,18
2010,2010 Winter Olympics,Short Track Speed Skating,8,113,48
2010,2010 Winter Olympics,Skeleton,2,48,6
2010,2010 Winter Olympics,Ski Jumping,3,68,18
2010,2010 Winter Olympics,Snowboarding,6,188,18
2010,2010 Winter Olympics,Speed Skating,12,177,54
2012,2012 Summer Olympics,Archery,4,128,24
2012,2012 Summer Olympics,Artistic Gymnastics,14,195,66
2012,2012 Summer Olympics,Artistic Swimming,2,104,33
2012,2012 Summer Olympics,Athletics,47,2098,188
2012,2012 Summer Olympics,Badminton,5,172,24
2012,2012 Summer Olympics,Basketball,2,287,72
2012,2012 Summer Olympics,Beach Volleyball,2,96,12
2012,2012 Summer Olympics,Boxing,13,286,52
2012,2012 Summer Olympics,Canoe Slalom,4,83,15
2012,2012 Summer Olympics,Canoe Sprint,12,249,66
2012,2012 Summer Olympics,Cycling BMX Racing,2,48,6
2012,2012 Summer Olympics,Cycling Mountain Bike,2,80,6
2012,2012 Summer Olympics,Cycling Road,4,210,12
2012,2012 Summer Olympics,Cycling Track,10,173,57
2012,2012 Summer Olympics,Diving,8,136,36
2012,2012 Summer Olympics,Equestrian Dressage,2,50,12
2012,2012 Summer Olympics,Equestrian Eventing,2,74,18
2012,2012 Summer Olympics,Equestrian Jumping,2,75,15
2012,2012 Summer Olympics,Fencing,10,244,66
2012,2012 Summer Olympics,Football,2,616,132
2012,2012 Summer Olympics,Handball,2,361,90
2012,2012 Summer Olympics,Hockey,2,432,108
2012,2012 Summer Olympics,Judo,14,387,56
2012,2012 Summer Olympics,Marathon Swimming,2,50,6
2012,2012 Summer Olympics,Modern Pentathlon,2,72,6
2012,2012 Summer Olympics,Rhythmic Gymnastics,2,96,21
2012,2012 Summer Olympics,Rowing,14,549,144
2012,2012 Summer Olympics,Sailing,10,380,48
2012,2012 Summer Olympics,Shooting,15,390,45
2012,2012 Summer Olympics,Swimming,32,887,189
2012,2012 Summer Olympics,Table Tennis,4,174,24
2012,2012 Summer Olympics,Taekwondo,8,128,32
2012,2012 Summer Olympics,Tennis,5,187,24
2012,2012 Summer Olympics,Trampolining,2,32,6
2012,2012 Summer Olympics,Triathlon,2,110,6
2012,2012 Summer Olympics,Volleyball,2,288,72
2012,2012 Summer Olympics,Water Polo,2,260,78
2012,2012 Summer Olympics,Weightlifting,15,252,44
2012,2012 Summer Olympics,Wrestling,18,343,72
2014,2014 Winter Olympics,Alpine Skiing,10,319,31
2014,2014 Winter Olympics,Biathlon,11,204,56
2014,2014 Winter Olympics,Bobsleigh,3,172,24
2014,2014 Winter Olympics,Cross Country Skiing,12,299,60
2014,2014 Winter Olympics,Curling,2,100,30
2014,2014 Winter Olympics,Figure Skating,5,149,45
2014,2014 Winter Olympics,Freestyle Skiing,10,267,30
2014,2014 Winter Olympics,Ice Hockey,2,468,138
2014,2014 Winter Olympics,Luge,4,108,24
2014,2014 Winter Olympics,Nordic Combined,3,54,18
2014,2014 Winter Olympics,Short Track Speed Skating,8,116,48
2014,2014 Winter Olympics,Skeleton,2,47,6
2014,2014 Winter Olympics,Ski Jumping,4,96,21
2014,2014 Winter Olympics,Snowboarding,10,239,30
2014,2014 Winter Olympics,Speed Skating,12,177,54
2016,2016 Summer Olympics,Archery,4,128,24
2016,2016 Summer Olympics,Artistic Gymnastics,14,196,66
2016,2016 Summer Olympics,Artistic Swimming,2,104,33
2016,2016 Summer Olympics,Athletics,47,2283,192
2016,2016 Summer Olympics,Badminton,5,172,24
2016,2016 Summer Olympics,Basketball,2,288,72
2016,2016 Summer Olympics,Beach Volleyball,2,96,12
2016,2016 Summer Olympics,Boxing,13,286,51
2016,2016 Summer Olympics,Canoe Slalom,4,83,15
2016,2016 Summer Olympics,Canoe Sprint,12,247,67
2016,2016 Summer Olympics,Cycling BMX Racing,2,48,6
2016,2016 Summer Olympics,Cycling Mountain Bike,2,78,6
2016,2016 Summer Olympics,Cycling Road,4,212,12
2016,2016 Summer Olympics,Cycling Track,10,181,61
2016,2016 Summer Olympics,Diving,8,136,36
2016,2016 Summer Olympics,Equestrian Dressage,2,60,15
2016,2016 Summer Olympics,Equestrian Eventing,2,65,15
2016,2016 Summer Olympics,Equestrian Jumping,2,75,15
2016,2016 Summer Olympics,Fencing,10,246,66
2016,2016 Summer Olympics,Football,2,609,133
2016,2016 Summer Olympics,Golf,2,120,6
2016,2016 Summer Olympics,Handball,2,355,90
2016,2016 Summer Olympics,Hockey,2,432,109
2016,2016 Summer Olympics,Judo,14,390,56
2016,2016 Summer Olympics,Marathon Swimming,2,51,6
2016,2016 Summer Olympics,Modern Pentathlon,2,72,6
2016,2016 Summer Olympics,Rhythmic Gymnastics,2,96,18
2016,2016 Summer Olympics,Rowing,14,546,144
2016,2016 Summer Olympics,Rugby Sevens,2,300,74
2016,2016 Summer Olympics,Sailing,10,380,45
2016,2016 Summer Olympics,Shooting,15,390,45
2016,2016 Summer Olympics,Swimming,32,900,185
2016,2016 Summer Olympics,Table Tennis,4,172,24
2016,2016 Summer Olympics,Taekwondo,8,128,32
2016,2016 Summer Olympics,Tennis,5,196,24
2016,2016 Summer Olympics,Trampolining,2,32,6
2016,2016 Summer Olympics,Triathlon,2,110,6
2016,2016 Summer Olympics,Volleyball,2,288,72
2016,2016 Summer Olympics,Water Polo,2,260,78
2016,2016 Summer Olympics,Weightlifting,15,259,44
2016,2016 Summer Olympics,Wrestling,18,347,72
2018,2018 Winter Olympics,Alpine Skiing,11,312,47
2018,2018 Winter Olympics,Biathlon,11,200,60
2018,2018 Winter Olympics,Bobsleigh,3,167,24
2018,2018 Winter Olympics,Cross Country Skiing,12,290,61
2018,2018 Winter Olympics,Curling,3,113,36
2018,2018 Winter Olympics,Figure Skating,5,153,64
2018,2018 Winter Olympics,Freestyle Skiing,10,268,30
2018,2018 Winter Olympics,Ice Hockey,2,496,144
2018,2018 Winter Olympics,Luge,4,110,24
2018,2018 Winter Olympics,Nordic Combined,3,51,18
2018,2018 Winter Olympics,Short Track Speed Skating,8,115,48
2018,2018 Winter Olympics,Skeleton,2,50,6
2018,2018 Winter Olympics,Ski Jumping,4,100,21
2018,2018 Winter Olympics,Snowboarding,10,248,30
2018,2018 Winter Olympics,Speed Skating,14,184,60
2020,2020 Summer Olympics,3x3 Basketball,2,64,24
2020,2020 Summer Olympics,Archery,5,128,30
2020,2020 Summer Olympics,Artistic Gymnastics,14,196,61
2020,2020 Summer Olympics,Artistic Swimming,2,104,30
2020,2020 Summer Olympics,Athletics,48,2013,228
2020,2020 Summer Olympics,Badminton,5,173,24
2020,2020 Summer Olympics,Baseball,1,144,72
2020,2020 Summer Olympics,Basketball,2,288,72
2020,2020 Summer Olympics,Beach Volleyball,2,96,12
2020,2020 Summer Olympics,Boxing,13,289,52
2020,2020 Summer Olympics,Canoe Slalom,4,82,12
2020,2020 Summer Olympics,Canoe Sprint,12,248,66
2020,2020 Summer Olympics,Cycling BMX Freestyle,2,18,6
2020,2020 Summer Olympics,Cycling BMX Racing,2,48,6
2020,2020 Summer Olympics,Cycling Mountain Bike,2,76,6
2020,2020 Summer Olympics,Cycling Road,4,201,12
2020,2020 Summer Olympics,Cycling Track,12,195,76
2020,2020 Summer Olympics,Diving,8,143,36
2020,2020 Summer Olympics,Equestrian Dressage,2,69,14
2020,2020 Summer Olympics,Equestrian Eventing,2,75,14
2020,2020 Summer Olympics,Equestrian Jumping,2,91,15
2020,2020 Summer Olympics,Fencing,12,264,90
2020,2020 Summer Olympics,Football,2,608,132
2020,2020 Summer Olympics,Golf,2,120,6
2020,2020 Summer Olympics,Handball,2,368,93
2020,2020 Summer Olympics,Hockey,2,432,108
2020,2020 Summer Olympics,Judo,15,393,102
2020,2020 Summer Olympics,Karate,8,81,32
2020,2020 Summer Olympics,Marathon Swimming,2,51,6
2020,2020 Summer Olympics,Modern Pentathlon,2,72,6
2020,2020 Summer Olympics,Rhythmic Gymnastics,2,96,18
2020,2020 Summer Olympics,Rowing,14,523,145
2020,2020 Summer Olympics,Rugby Sevens,2,312,78
2020,2020 Summer Olympics,Sailing,10,350,45
2020,2020 Summer Olympics,Shooting,15,355,54
2020,2020 Summer Olympics,Skateboarding,4,80,12
2020,2020 Summer Olympics,Softball,1,90,45
2020,2020 Summer Olympics,Sport Climbing,2,40,6
2020,2020 Summer Olympics,Surfing,2,40,6
2020,2020 Summer Olympics,Swimming,35,878,208
2020,2020 Summer Olympics,Table Tennis,5,174,30
2020,2020 Summer Olympics,Taekwondo,8,130,32
2020,2020 Summer Olympics,Tennis,5,190,24
2020,2020 Summer Olympics,Trampolining,2,32,6
2020,2020 Summer Olympics,Triathlon,3,110,18
2020,2020 Summer Olympics,Volleyball,2,288,72
2020,2020 Summer Olympics,Water Polo,2,286,78
2020,2020 Summer Olympics,Weightlifting,14,197,42
2020,2020 Summer Olympics,Wrestling,18,289,72
2022,2022 Winter Olympics,Alpine Skiing,11,301,47
2022,2022 Winter Olympics,Biathlon,11,200,60
2022,2022 Winter Olympics,Bobsleigh,4,166,30
2022,2022 Winter Olympics,Cross Country Skiing,12,293,60
2022,2022 Winter Olympics,Curling,3,114,36
2022,2022 Winter Olympics,Figure Skating,5,148,62
2022,2022 Winter Olympics,Freestyle Skiing,13,267,46
2022,2022 Winter Olympics,Ice Hockey,2,538,144
2022,2022 Winter Olympics,Luge,4,104,24
2022,2022 Winter Olympics,Nordic Combined,3,57,18
2022,2022 Winter Olympics,Short Track Speed Skating,9,112,64
2022,2022 Winter Olympics,Skeleton,2,50,6
2022,2022 Winter Olympics,Ski Jumping,5,104,33
2022,2022 Winter Olympics,Snowboarding,11,233,36
2022,2022 Winter Olympics,Speed Skating,14,164,60
